admission_id,application_id,decision_date,decision_status
ADM00001,APP00001,2025-01-06,Admitted
ADM00002,APP00002,2025-07-02,Admitted
ADM00003,APP00003,2025-11-12,Admitted
ADM00004,APP00004,2026-02-11,Admitted
ADM00005,APP00005,2024-11-08,Admitted
ADM00006,APP00006,2025-03-01,Admitted
ADM00007,APP00007,2025-06-27,Admitted
ADM00008,APP00008,2025-10-04,Admitted
ADM00009,APP00010,2024-10-18,Admitted
ADM00010,APP00011,2025-03-01,Admitted
ADM00011,APP00014,2026-04-03,Admitted
ADM00012,APP00016,2025-03-09,Admitted
ADM00013,APP00017,2025-04-29,Admitted
ADM00014,APP00018,2025-10-20,Admitted
ADM00015,APP00019,2026-01-11,Admitted
ADM00016,APP00020,2024-11-06,Admitted
ADM00017,APP00021,2025-04-01,Admitted
ADM00018,APP00022,2025-05-21,Admitted
ADM00019,APP00025,2024-10-16,Admitted
ADM00020,APP00028,2025-10-26,Admitted
ADM00021,APP00030,2024-12-19,Admitted
ADM00022,APP00031,2025-03-27,Admitted
ADM00023,APP00032,2025-04-29,Admitted
ADM00024,APP00034,2026-04-26,Admitted
ADM00025,APP00037,2025-05-15,Admitted
ADM00026,APP00039,2026-03-24,Admitted
ADM00027,APP00041,2025-04-06,Admitted
ADM00028,APP00042,2025-06-18,Admitted
ADM00029,APP00044,2026-03-15,Admitted
ADM00030,APP00045,2024-12-10,Admitted
ADM00031,APP00046,2025-01-29,Admitted
ADM00032,APP00047,2025-04-12,Admitted
ADM00033,APP00048,2025-12-08,Admitted
ADM00034,APP00049,2026-03-08,Admitted
ADM00035,APP00050,2024-09-29,Admitted
ADM00036,APP00051,2025-01-26,Admitted
ADM00037,APP00053,2025-11-30,Admitted
ADM00038,APP00056,2025-03-03,Admitted
ADM00039,APP00057,2025-07-30,Admitted
ADM00040,APP00058,2025-11-19,Admitted
ADM00041,APP00060,2024-10-18,Admitted
ADM00042,APP00061,2025-02-13,Admitted
ADM00043,APP00062,2025-06-01,Admitted
ADM00044,APP00063,2025-11-27,Admitted
ADM00045,APP00064,2026-03-11,Admitted
ADM00046,APP00065,2024-11-05,Admitted
ADM00047,APP00066,2025-02-23,Admitted
ADM00048,APP00067,2025-06-30,Admitted
ADM00049,APP00068,2025-10-01,Admitted
ADM00050,APP00069,2026-03-17,Admitted
ADM00051,APP00070,2024-12-02,Admitted
ADM00052,APP00071,2025-05-05,Admitted
ADM00053,APP00072,2025-08-25,Admitted
ADM00054,APP00076,2025-02-15,Admitted
ADM00055,APP00078,2025-11-16,Admitted
ADM00056,APP00080,2024-12-07,Admitted
ADM00057,APP00081,2025-05-09,Admitted
ADM00058,APP00082,2025-06-06,Admitted
ADM00059,APP00083,2026-01-15,Admitted
ADM00060,APP00085,2024-09-10,Admitted
ADM00061,APP00087,2025-05-22,Admitted
ADM00062,APP00088,2025-11-15,Admitted
ADM00063,APP00089,2026-03-12,Admitted
ADM00064,APP00091,2025-03-02,Admitted
ADM00065,APP00092,2025-06-21,Admitted
ADM00066,APP00093,2025-12-24,Admitted
ADM00067,APP00095,2024-11-03,Admitted
ADM00068,APP00096,2025-01-24,Admitted
ADM00069,APP00097,2025-05-07,Admitted
ADM00070,APP00098,2025-11-27,Admitted
ADM00071,APP00099,2026-04-29,Admitted
ADM00072,APP00100,2024-10-25,Admitted
ADM00073,APP00101,2025-03-06,Admitted
ADM00074,APP00102,2025-05-05,Admitted
ADM00075,APP00103,2025-10-26,Admitted
ADM00076,APP00104,2026-02-08,Admitted
ADM00077,APP00105,2024-12-21,Admitted
ADM00078,APP00109,2026-05-10,Admitted
ADM00079,APP00112,2025-05-14,Admitted
ADM00080,APP00113,2025-12-28,Admitted
ADM00081,APP00114,2026-03-07,Admitted
ADM00082,APP00115,2024-10-06,Admitted
ADM00083,APP00117,2025-08-04,Admitted
ADM00084,APP00118,2026-01-06,Admitted
ADM00085,APP00120,2024-11-23,Admitted
ADM00086,APP00121,2025-04-19,Admitted
ADM00087,APP00122,2025-08-25,Admitted
ADM00088,APP00123,2025-12-06,Admitted
ADM00089,APP00125,2024-11-23,Admitted
ADM00090,APP00126,2025-02-15,Admitted
ADM00091,APP00128,2025-11-12,Admitted
ADM00092,APP00129,2026-01-03,Admitted
ADM00093,APP00130,2024-10-23,Admitted
ADM00094,APP00132,2025-05-14,Admitted
ADM00095,APP00134,2026-04-01,Admitted
ADM00096,APP00136,2025-04-08,Admitted
ADM00097,APP00137,2025-07-06,Admitted
ADM00098,APP00141,2025-02-02,Admitted
ADM00099,APP00143,2025-12-15,Admitted
ADM00100,APP00144,2026-01-31,Admitted
ADM00101,APP00147,2025-06-14,Admitted
ADM00102,APP00148,2025-12-22,Admitted
ADM00103,APP00149,2026-05-04,Admitted
ADM00104,APP00150,2025-01-06,Admitted
ADM00105,APP00151,2025-01-13,Admitted
ADM00106,APP00154,2026-02-13,Admitted
ADM00107,APP00156,2025-02-03,Admitted
ADM00108,APP00157,2025-06-09,Admitted
ADM00109,APP00159,2026-03-23,Admitted
ADM00110,APP00160,2024-11-14,Admitted
ADM00111,APP00161,2025-03-16,Admitted
ADM00112,APP00162,2025-07-02,Admitted
ADM00113,APP00165,2024-11-03,Admitted
ADM00114,APP00166,2025-04-04,Admitted
ADM00115,APP00167,2025-07-05,Admitted
ADM00116,APP00168,2025-10-06,Admitted
ADM00117,APP00169,2026-04-15,Admitted
ADM00118,APP00171,2025-04-17,Admitted
ADM00119,APP00172,2025-05-06,Admitted
ADM00120,APP00173,2025-10-19,Admitted
ADM00121,APP00174,2026-04-22,Admitted
ADM00122,APP00175,2024-11-26,Admitted
ADM00123,APP00176,2025-03-20,Admitted
ADM00124,APP00177,2025-04-27,Admitted
ADM00125,APP00181,2025-03-11,Admitted
ADM00126,APP00182,2025-07-15,Admitted
ADM00127,APP00183,2025-12-12,Admitted
ADM00128,APP00184,2026-03-23,Admitted
ADM00129,APP00185,2024-09-15,Admitted
ADM00130,APP00190,2024-11-30,Admitted
ADM00131,APP00192,2025-06-05,Admitted
ADM00132,APP00193,2025-10-04,Admitted
ADM00133,APP00194,2026-05-06,Admitted
ADM00134,APP00196,2025-03-15,Admitted
ADM00135,APP00198,2025-10-14,Admitted
ADM00136,APP00200,2024-10-17,Admitted
ADM00137,APP00201,2025-03-10,Admitted
ADM00138,APP00203,2025-09-15,Admitted
ADM00139,APP00205,2024-11-10,Admitted
ADM00140,APP00207,2025-04-16,Admitted
ADM00141,APP00209,2026-02-28,Admitted
ADM00142,APP00211,2025-05-11,Admitted
ADM00143,APP00213,2025-12-05,Admitted
ADM00144,APP00216,2025-03-02,Admitted
ADM00145,APP00217,2025-05-26,Admitted
ADM00146,APP00220,2024-09-27,Admitted
ADM00147,APP00221,2025-04-16,Admitted
ADM00148,APP00223,2025-11-18,Admitted
ADM00149,APP00226,2025-01-27,Admitted
ADM00150,APP00228,2025-11-14,Admitted
ADM00151,APP00229,2026-01-25,Admitted
ADM00152,APP00230,2024-11-01,Admitted
ADM00153,APP00231,2025-03-06,Admitted
ADM00154,APP00232,2025-07-17,Admitted
ADM00155,APP00233,2025-10-17,Admitted
ADM00156,APP00235,2024-11-03,Admitted
ADM00157,APP00236,2025-04-14,Admitted
ADM00158,APP00237,2025-07-09,Admitted
ADM00159,APP00238,2025-12-25,Admitted
ADM00160,APP00240,2024-11-10,Admitted
ADM00161,APP00241,2025-01-24,Admitted
ADM00162,APP00242,2025-06-10,Admitted
ADM00163,APP00243,2025-11-04,Admitted
ADM00164,APP00244,2026-04-03,Admitted
ADM00165,APP00245,2024-09-18,Admitted
ADM00166,APP00246,2025-03-05,Admitted
ADM00167,APP00248,2025-12-22,Admitted
ADM00168,APP00249,2026-04-19,Admitted
ADM00169,APP00253,2025-10-05,Admitted
ADM00170,APP00257,2025-06-02,Admitted
