application_id,student_id,term_id,school_id,program_id,application_date,application_status
APP00001,STU00008,2025SU,SCH02,PRG0203,2024-12-26,Submitted
APP00002,STU00015,2025FA,SCH04,PRG0402,2025-05-27,Submitted
APP00003,STU00022,2026WI,SCH06,PRG0601,2025-11-01,Submitted
APP00004,STU00029,2026SU,SCH07,PRG0703,2026-01-05,Submitted
APP00005,STU00036,2025WI,SCH09,PRG0902,2024-10-25,Submitted
APP00006,STU00043,2025SU,SCH11,PRG1101,2025-01-25,Submitted
APP00007,STU00050,2025FA,SCH12,PRG1203,2025-05-17,Submitted
APP00008,STU00057,2026WI,SCH02,PRG0202,2025-08-24,Submitted
APP00009,STU00064,2026SU,SCH04,PRG0401,2026-03-29,Cancelled
APP00010,STU00071,2025WI,SCH05,PRG0503,2024-09-26,Submitted
APP00011,STU00078,2025SU,SCH07,PRG0702,2025-01-31,Submitted
APP00012,STU00085,2025FA,SCH09,PRG0901,2025-05-18,Submitted
APP00013,STU00092,2026WI,SCH10,PRG1003,2025-10-27,Submitted
APP00014,STU00099,2026SU,SCH12,PRG1202,2026-03-01,Submitted
APP00015,STU00106,2025WI,SCH02,PRG0201,2024-11-17,Submitted
APP00016,STU00113,2025SU,SCH03,PRG0303,2025-02-22,Submitted
APP00017,STU00120,2025FA,SCH05,PRG0502,2025-04-13,Submitted
APP00018,STU00127,2026WI,SCH07,PRG0701,2025-09-19,Submitted
APP00019,STU00134,2026SU,SCH08,PRG0803,2025-12-21,Submitted
APP00020,STU00141,2025WI,SCH10,PRG1002,2024-10-10,Submitted
APP00021,STU00148,2025SU,SCH12,PRG1201,2025-03-06,Submitted
APP00022,STU00155,2025FA,SCH01,PRG0103,2025-05-01,Submitted
APP00023,STU00162,2026WI,SCH03,PRG0302,2025-11-09,Submitted
APP00024,STU00169,2026SU,SCH05,PRG0501,2026-01-04,Cancelled
APP00025,STU00176,2025WI,SCH06,PRG0603,2024-10-06,Submitted
APP00026,STU00183,2025SU,SCH08,PRG0802,2025-02-22,Submitted
APP00027,STU00190,2025FA,SCH10,PRG1001,2025-04-15,Submitted
APP00028,STU00197,2026WI,SCH11,PRG1103,2025-10-07,Submitted
APP00029,STU00204,2026SU,SCH01,PRG0102,2025-12-24,Cancelled
APP00030,STU00211,2025WI,SCH03,PRG0301,2024-11-25,Submitted
APP00031,STU00218,2025SU,SCH04,PRG0403,2025-02-23,Submitted
APP00032,STU00225,2025FA,SCH06,PRG0602,2025-04-11,Submitted
APP00033,STU00232,2026WI,SCH08,PRG0801,2025-12-01,Cancelled
APP00034,STU00239,2026SU,SCH09,PRG0903,2026-03-14,Submitted
APP00035,STU00006,2025WI,SCH11,PRG1102,2024-08-26,Cancelled
APP00036,STU00013,2025SU,SCH01,PRG0101,2025-03-28,Submitted
APP00037,STU00020,2025FA,SCH02,PRG0203,2025-04-19,Submitted
APP00038,STU00027,2026WI,SCH04,PRG0402,2025-10-09,Cancelled
APP00039,STU00034,2026SU,SCH06,PRG0601,2026-03-13,Submitted
APP00040,STU00041,2025WI,SCH07,PRG0703,2024-08-19,Cancelled
APP00041,STU00048,2025SU,SCH09,PRG0902,2025-03-04,Submitted
APP00042,STU00055,2025FA,SCH11,PRG1101,2025-05-21,Submitted
APP00043,STU00062,2026WI,SCH12,PRG1203,2025-10-17,Cancelled
APP00044,STU00069,2026SU,SCH02,PRG0202,2026-03-02,Submitted
APP00045,STU00076,2025WI,SCH04,PRG0401,2024-11-02,Submitted
APP00046,STU00083,2025SU,SCH05,PRG0503,2025-01-12,Submitted
APP00047,STU00090,2025FA,SCH07,PRG0702,2025-03-31,Submitted
APP00048,STU00097,2026WI,SCH09,PRG0901,2025-11-12,Submitted
APP00049,STU00104,2026SU,SCH10,PRG1003,2026-02-13,Submitted
APP00050,STU00111,2025WI,SCH12,PRG1202,2024-09-04,Submitted
APP00051,STU00118,2025SU,SCH02,PRG0201,2025-01-07,Submitted
APP00052,STU00125,2025FA,SCH03,PRG0303,2025-07-05,Submitted
APP00053,STU00132,2026WI,SCH05,PRG0502,2025-10-25,Submitted
APP00054,STU00139,2026SU,SCH07,PRG0701,2025-12-26,Cancelled
APP00055,STU00146,2025WI,SCH08,PRG0803,2024-10-24,Submitted
APP00056,STU00153,2025SU,SCH10,PRG1002,2025-01-18,Submitted
APP00057,STU00160,2025FA,SCH12,PRG1201,2025-07-14,Submitted
APP00058,STU00167,2026WI,SCH01,PRG0103,2025-10-15,Submitted
APP00059,STU00174,2026SU,SCH03,PRG0302,2026-02-16,Submitted
APP00060,STU00181,2025WI,SCH05,PRG0501,2024-09-28,Submitted
APP00061,STU00188,2025SU,SCH06,PRG0603,2025-01-17,Submitted
APP00062,STU00195,2025FA,SCH08,PRG0802,2025-04-23,Submitted
APP00063,STU00202,2026WI,SCH10,PRG1001,2025-10-25,Submitted
APP00064,STU00209,2026SU,SCH11,PRG1103,2026-01-30,Submitted
APP00065,STU00216,2025WI,SCH01,PRG0102,2024-09-26,Submitted
APP00066,STU00223,2025SU,SCH03,PRG0301,2025-02-01,Submitted
