budget_actual_id,fiscal_year,school_id,revenue_budget,revenue_actual,expense_budget,expense_actual
FIN0001,FY2025,SCH01,8511061.00,8291044.00,7242949.00,7498260.00
FIN0002,FY2025,SCH02,9377943.00,9499092.00,7479758.00,7632483.00
FIN0003,FY2025,SCH03,10063142.00,10073430.00,8238808.00,8470484.00
FIN0004,FY2025,SCH04,10637498.00,10847736.00,8579541.00,8599835.00
FIN0005,FY2025,SCH05,11483141.00,11496135.00,9392243.00,9246321.00
FIN0006,FY2025,SCH06,12075994.00,12129149.00,9902756.00,9782072.00
FIN0007,FY2025,SCH07,12631501.00,12556276.00,10384037.00,10194066.00
FIN0008,FY2025,SCH08,13410662.00,13132537.00,10920824.00,11073864.00
FIN0009,FY2025,SCH09,13739628.00,13684993.00,11345721.00,11428605.00
FIN0010,FY2025,SCH10,14293698.00,14695707.00,11720421.00,11789877.00
FIN0011,FY2025,SCH11,15135274.00,15463288.00,12509871.00,12501073.00
FIN0012,FY2025,SCH12,15903734.00,16022617.00,13037963.00,13177998.00
FIN0013,FY2026,SCH01,8474183.00,8489814.00,7112023.00,6962971.00
FIN0014,FY2026,SCH02,9358975.00,9169066.00,7549986.00,7759077.00
FIN0015,FY2026,SCH03,9773174.00,9616218.00,8176248.00,8390674.00
FIN0016,FY2026,SCH04,10352797.00,10684519.00,8595841.00,8799428.00
FIN0017,FY2026,SCH05,11397027.00,11780359.00,9206280.00,9070715.00
FIN0018,FY2026,SCH06,11718389.00,11919985.00,9764429.00,9933980.00
FIN0019,FY2026,SCH07,12731381.00,12681863.00,10300221.00,10333164.00
FIN0020,FY2026,SCH08,13134835.00,13322797.00,10720661.00,10987910.00
FIN0021,FY2026,SCH09,13678090.00,13743657.00,11432636.00,11536434.00
FIN0022,FY2026,SCH10,14746636.00,14626673.00,12034598.00,12183800.00
FIN0023,FY2026,SCH11,14978741.00,14809976.00,12400500.00,12672594.00
FIN0024,FY2026,SCH12,15742090.00,15501917.00,13020823.00,13033064.00
