section_id,term_id,school_id,program_id,course_code,section_number,modality,capacity
SEC00001,2024FA,SCH01,PRG0101,0101-150,01,Online,29
SEC00002,2024FA,SCH01,PRG0101,0101-200,02,Online,28
SEC00003,2024FA,SCH01,PRG0102,0102-150,01,Hybrid,42
SEC00004,2024FA,SCH01,PRG0102,0102-200,02,Hybrid,38
SEC00005,2024FA,SCH01,PRG0103,0103-150,01,In Person,39
SEC00006,2024FA,SCH01,PRG0103,0103-200,02,Online,35
SEC00007,2024FA,SCH02,PRG0201,0201-150,01,Online,26
SEC00008,2024FA,SCH02,PRG0201,0201-200,02,In Person,25
SEC00009,2024FA,SCH02,PRG0202,0202-150,01,In Person,29
SEC00010,2024FA,SCH02,PRG0202,0202-200,02,Hybrid,37
SEC00011,2024FA,SCH02,PRG0203,0203-150,01,Online,38
SEC00012,2024FA,SCH02,PRG0203,0203-200,02,Hybrid,26
SEC00013,2024FA,SCH03,PRG0301,0301-150,01,Online,36
SEC00014,2024FA,SCH03,PRG0301,0301-200,02,Online,35
SEC00015,2024FA,SCH03,PRG0302,0302-150,01,Hybrid,26
SEC00016,2024FA,SCH03,PRG0302,0302-200,02,Hybrid,33
SEC00017,2024FA,SCH03,PRG0303,0303-150,01,Online,30
SEC00018,2024FA,SCH03,PRG0303,0303-200,02,Hybrid,28
SEC00019,2024FA,SCH04,PRG0401,0401-150,01,Hybrid,39
SEC00020,2024FA,SCH04,PRG0401,0401-200,02,Hybrid,35
SEC00021,2024FA,SCH04,PRG0402,0402-150,01,Online,37
SEC00022,2024FA,SCH04,PRG0402,0402-200,02,Online,40
SEC00023,2024FA,SCH04,PRG0403,0403-150,01,In Person,36
SEC00024,2024FA,SCH04,PRG0403,0403-200,02,In Person,24
SEC00025,2024FA,SCH05,PRG0501,0501-150,01,In Person,30
SEC00026,2024FA,SCH05,PRG0501,0501-200,02,Online,41
SEC00027,2024FA,SCH05,PRG0502,0502-150,01,In Person,32
SEC00028,2024FA,SCH05,PRG0502,0502-200,02,Online,25
SEC00029,2024FA,SCH05,PRG0503,0503-150,01,In Person,27
SEC00030,2024FA,SCH05,PRG0503,0503-200,02,In Person,33
SEC00031,2024FA,SCH06,PRG0601,0601-150,01,Online,36
SEC00032,2024FA,SCH06,PRG0601,0601-200,02,Hybrid,31
SEC00033,2024FA,SCH06,PRG0602,0602-150,01,Hybrid,41
SEC00034,2024FA,SCH06,PRG0602,0602-200,02,In Person,35
SEC00035,2024FA,SCH06,PRG0603,0603-150,01,Hybrid,39
SEC00036,2024FA,SCH06,PRG0603,0603-200,02,In Person,24
SEC00037,2024FA,SCH07,PRG0701,0701-150,01,Hybrid,41
SEC00038,2024FA,SCH07,PRG0701,0701-200,02,In Person,42
SEC00039,2024FA,SCH07,PRG0702,0702-150,01,Online,26
SEC00040,2024FA,SCH07,PRG0702,0702-200,02,In Person,26
SEC00041,2024FA,SCH07,PRG0703,0703-150,01,In Person,39
SEC00042,2024FA,SCH07,PRG0703,0703-200,02,Online,38
SEC00043,2024FA,SCH08,PRG0801,0801-150,01,In Person,29
SEC00044,2024FA,SCH08,PRG0801,0801-200,02,Online,28
SEC00045,2024FA,SCH08,PRG0802,0802-150,01,Hybrid,40
SEC00046,2024FA,SCH08,PRG0802,0802-200,02,Hybrid,36
SEC00047,2024FA,SCH08,PRG0803,0803-150,01,Online,42
SEC00048,2024FA,SCH08,PRG0803,0803-200,02,In Person,38
SEC00049,2024FA,SCH09,PRG0901,0901-150,01,In Person,31
SEC00050,2024FA,SCH09,PRG0901,0901-200,02,Online,26
SEC00051,2024FA,SCH09,PRG0902,0902-150,01,Hybrid,31
SEC00052,2024FA,SCH09,PRG0902,0902-200,02,Online,35
SEC00053,2024FA,SCH09,PRG0903,0903-150,01,In Person,37
SEC00054,2024FA,SCH09,PRG0903,0903-200,02,Hybrid,35
SEC00055,2024FA,SCH10,PRG1001,1001-150,01,Hybrid,40
SEC00056,2024FA,SCH10,PRG1001,1001-200,02,Hybrid,40
SEC00057,2024FA,SCH10,PRG1002,1002-150,01,Hybrid,35
SEC00058,2024FA,SCH10,PRG1002,1002-200,02,Online,35
SEC00059,2024FA,SCH10,PRG1003,1003-150,01,In Person,28
SEC00060,2024FA,SCH10,PRG1003,1003-200,02,In Person,24
SEC00061,2024FA,SCH11,PRG1101,1101-150,01,In Person,27
SEC00062,2024FA,SCH11,PRG1101,1101-200,02,In Person,29
SEC00063,2024FA,SCH11,PRG1102,1102-150,01,Hybrid,42
SEC00064,2024FA,SCH11,PRG1102,1102-200,02,Hybrid,38
SEC00065,2024FA,SCH11,PRG1103,1103-150,01,Hybrid,24
SEC00066,2024FA,SCH11,PRG1103,1103-200,02,Online,27
SEC00067,2024FA,SCH12,PRG1201,1201-150,01,In Person,32
SEC00068,2024FA,SCH12,PRG1201,1201-200,02,Hybrid,24
SEC00069,2024FA,SCH12,PRG1202,1202-150,01,In Person,30
SEC00070,2024FA,SCH12,PRG1202,1202-200,02,Online,24
SEC00071,2024FA,SCH12,PRG1203,1203-150,01,In Person,26
SEC00072,2024FA,SCH12,PRG1203,1203-200,02,Hybrid,42
SEC00073,2025WI,SCH01,PRG0101,0101-150,01,Online,30
SEC00074,2025WI,SCH01,PRG0101,0101-200,02,In Person,32
SEC00075,2025WI,SCH01,PRG0102,0102-150,01,Hybrid,25
SEC00076,2025WI,SCH01,PRG0102,0102-200,02,Online,25
SEC00077,2025WI,SCH01,PRG0103,0103-150,01,In Person,40
SEC00078,2025WI,SCH01,PRG0103,0103-200,02,Online,35
SEC00079,2025WI,SCH02,PRG0201,0201-150,01,Online,26
SEC00080,2025WI,SCH02,PRG0201,0201-200,02,Hybrid,32
SEC00081,2025WI,SCH02,PRG0202,0202-150,01,Hybrid,31
SEC00082,2025WI,SCH02,PRG0202,0202-200,02,In Person,42
SEC00083,2025WI,SCH02,PRG0203,0203-150,01,Online,41
SEC00084,2025WI,SCH02,PRG0203,0203-200,02,Online,28
SEC00085,2025WI,SCH03,PRG0301,0301-150,01,Hybrid,41
SEC00086,2025WI,SCH03,PRG0301,0301-200,02,Hybrid,31
SEC00087,2025WI,SCH03,PRG0302,0302-150,01,In Person,41
SEC00088,2025WI,SCH03,PRG0302,0302-200,02,In Person,39
SEC00089,2025WI,SCH03,PRG0303,0303-150,01,Hybrid,29
SEC00090,2025WI,SCH03,PRG0303,0303-200,02,Online,24
SEC00091,2025WI,SCH04,PRG0401,0401-150,01,Online,25
SEC00092,2025WI,SCH04,PRG0401,0401-200,02,Hybrid,27
SEC00093,2025WI,SCH04,PRG0402,0402-150,01,Hybrid,38
SEC00094,2025WI,SCH04,PRG0402,0402-200,02,In Person,34
SEC00095,2025WI,SCH04,PRG0403,0403-150,01,In Person,35
SEC00096,2025WI,SCH04,PRG0403,0403-200,02,In Person,41
SEC00097,2025WI,SCH05,PRG0501,0501-150,01,Online,27
SEC00098,2025WI,SCH05,PRG0501,0501-200,02,Hybrid,39
SEC00099,2025WI,SCH05,PRG0502,0502-150,01,Online,41
SEC00100,2025WI,SCH05,PRG0502,0502-200,02,Hybrid,33
SEC00101,2025WI,SCH05,PRG0503,0503-150,01,In Person,24
SEC00102,2025WI,SCH05,PRG0503,0503-200,02,Hybrid,35
SEC00103,2025WI,SCH06,PRG0601,0601-150,01,Hybrid,36
SEC00104,2025WI,SCH06,PRG0601,0601-200,02,Hybrid,40
SEC00105,2025WI,SCH06,PRG0602,0602-150,01,Hybrid,25
SEC00106,2025WI,SCH06,PRG0602,0602-200,02,Hybrid,36
SEC00107,2025WI,SCH06,PRG0603,0603-150,01,In Person,31
SEC00108,2025WI,SCH06,PRG0603,0603-200,02,In Person,32
SEC00109,2025WI,SCH07,PRG0701,0701-150,01,Online,28
SEC00110,2025WI,SCH07,PRG0701,0701-200,02,Hybrid,28
SEC00111,2025WI,SCH07,PRG0702,0702-150,01,In Person,26
SEC00112,2025WI,SCH07,PRG0702,0702-200,02,Online,40
SEC00113,2025WI,SCH07,PRG0703,0703-150,01,Hybrid,26
SEC00114,2025WI,SCH07,PRG0703,0703-200,02,Hybrid,26
SEC00115,2025WI,SCH08,PRG0801,0801-150,01,Online,28
SEC00116,2025WI,SCH08,PRG0801,0801-200,02,Online,34
SEC00117,2025WI,SCH08,PRG0802,0802-150,01,Hybrid,37
SEC00118,2025WI,SCH08,PRG0802,0802-200,02,Online,38
SEC00119,2025WI,SCH08,PRG0803,0803-150,01,Hybrid,28
SEC00120,2025WI,SCH08,PRG0803,0803-200,02,Hybrid,36
SEC00121,2025WI,SCH09,PRG0901,0901-150,01,In Person,29
SEC00122,2025WI,SCH09,PRG0901,0901-200,02,Online,40
SEC00123,2025WI,SCH09,PRG0902,0902-150,01,Hybrid,34
SEC00124,2025WI,SCH09,PRG0902,0902-200,02,Online,42
SEC00125,2025WI,SCH09,PRG0903,0903-150,01,In Person,41
SEC00126,2025WI,SCH09,PRG0903,0903-200,02,Hybrid,33
SEC00127,2025WI,SCH10,PRG1001,1001-150,01,Hybrid,42
SEC00128,2025WI,SCH10,PRG1001,1001-200,02,In Person,38
SEC00129,2025WI,SCH10,PRG1002,1002-150,01,In Person,25
SEC00130,2025WI,SCH10,PRG1002,1002-200,02,Hybrid,26
SEC00131,2025WI,SCH10,PRG1003,1003-150,01,In Person,36
SEC00132,2025WI,SCH10,PRG1003,1003-200,02,Hybrid,37
SEC00133,2025WI,SCH11,PRG1101,1101-150,01,Online,31
SEC00134,2025WI,SCH11,PRG1101,1101-200,02,Hybrid,41
SEC00135,2025WI,SCH11,PRG1102,1102-150,01,In Person,24
SEC00136,2025WI,SCH11,PRG1102,1102-200,02,Online,29
SEC00137,2025WI,SCH11,PRG1103,1103-150,01,In Person,37
SEC00138,2025WI,SCH11,PRG1103,1103-200,02,Online,24
SEC00139,2025WI,SCH12,PRG1201,1201-150,01,Hybrid,42
SEC00140,2025WI,SCH12,PRG1201,1201-200,02,Online,37
SEC00141,2025WI,SCH12,PRG1202,1202-150,01,In Person,25
SEC00142,2025WI,SCH12,PRG1202,1202-200,02,Online,41
SEC00143,2025WI,SCH12,PRG1203,1203-150,01,In Person,36
SEC00144,2025WI,SCH12,PRG1203,1203-200,02,Online,28
SEC00145,2025SU,SCH01,PRG0101,0101-150,01,Hybrid,42
SEC00146,2025SU,SCH01,PRG0101,0101-200,02,Online,39
SEC00147,2025SU,SCH01,PRG0102,0102-150,01,In Person,36
SEC00148,2025SU,SCH01,PRG0102,0102-200,02,Hybrid,26
SEC00149,2025SU,SCH01,PRG0103,0103-150,01,Online,25
SEC00150,2025SU,SCH01,PRG0103,0103-200,02,Online,40
SEC00151,2025SU,SCH02,PRG0201,0201-150,01,Hybrid,30
SEC00152,2025SU,SCH02,PRG0201,0201-200,02,Hybrid,27
SEC00153,2025SU,SCH02,PRG0202,0202-150,01,Hybrid,29
SEC00154,2025SU,SCH02,PRG0202,0202-200,02,Online,35
SEC00155,2025SU,SCH02,PRG0203,0203-150,01,Hybrid,27
SEC00156,2025SU,SCH02,PRG0203,0203-200,02,Online,24
SEC00157,2025SU,SCH03,PRG0301,0301-150,01,Hybrid,27
SEC00158,2025SU,SCH03,PRG0301,0301-200,02,Hybrid,40
SEC00159,2025SU,SCH03,PRG0302,0302-150,01,Online,32
SEC00160,2025SU,SCH03,PRG0302,0302-200,02,In Person,31
SEC00161,2025SU,SCH03,PRG0303,0303-150,01,Hybrid,25
SEC00162,2025SU,SCH03,PRG0303,0303-200,02,In Person,32
SEC00163,2025SU,SCH04,PRG0401,0401-150,01,In Person,40
SEC00164,2025SU,SCH04,PRG0401,0401-200,02,Online,41
SEC00165,2025SU,SCH04,PRG0402,0402-150,01,In Person,25
SEC00166,2025SU,SCH04,PRG0402,0402-200,02,In Person,34
SEC00167,2025SU,SCH04,PRG0403,0403-150,01,Hybrid,39
SEC00168,2025SU,SCH04,PRG0403,0403-200,02,Online,38
SEC00169,2025SU,SCH05,PRG0501,0501-150,01,Online,28
SEC00170,2025SU,SCH05,PRG0501,0501-200,02,Online,34
SEC00171,2025SU,SCH05,PRG0502,0502-150,01,Hybrid,38
SEC00172,2025SU,SCH05,PRG0502,0502-200,02,Online,28
SEC00173,2025SU,SCH05,PRG0503,0503-150,01,Online,26
SEC00174,2025SU,SCH05,PRG0503,0503-200,02,Online,41
SEC00175,2025SU,SCH06,PRG0601,0601-150,01,Hybrid,24
SEC00176,2025SU,SCH06,PRG0601,0601-200,02,Hybrid,36
SEC00177,2025SU,SCH06,PRG0602,0602-150,01,Online,24
SEC00178,2025SU,SCH06,PRG0602,0602-200,02,In Person,33
SEC00179,2025SU,SCH06,PRG0603,0603-150,01,Hybrid,38
SEC00180,2025SU,SCH06,PRG0603,0603-200,02,Online,34
SEC00181,2025SU,SCH07,PRG0701,0701-150,01,Hybrid,40
SEC00182,2025SU,SCH07,PRG0701,0701-200,02,Hybrid,41
SEC00183,2025SU,SCH07,PRG0702,0702-150,01,Hybrid,36
SEC00184,2025SU,SCH07,PRG0702,0702-200,02,Hybrid,41
SEC00185,2025SU,SCH07,PRG0703,0703-150,01,In Person,36
SEC00186,2025SU,SCH07,PRG0703,0703-200,02,In Person,42
SEC00187,2025SU,SCH08,PRG0801,0801-150,01,Hybrid,34
SEC00188,2025SU,SCH08,PRG0801,0801-200,02,Online,41
SEC00189,2025SU,SCH08,PRG0802,0802-150,01,Hybrid,40
SEC00190,2025SU,SCH08,PRG0802,0802-200,02,Hybrid,29
SEC00191,2025SU,SCH08,PRG0803,0803-150,01,Online,36
SEC00192,2025SU,SCH08,PRG0803,0803-200,02,Online,30
SEC00193,2025SU,SCH09,PRG0901,0901-150,01,Online,30
SEC00194,2025SU,SCH09,PRG0901,0901-200,02,Hybrid,25
SEC00195,2025SU,SCH09,PRG0902,0902-150,01,Hybrid,24
SEC00196,2025SU,SCH09,PRG0902,0902-200,02,In Person,34
SEC00197,2025SU,SCH09,PRG0903,0903-150,01,In Person,31
SEC00198,2025SU,SCH09,PRG0903,0903-200,02,In Person,27
SEC00199,2025SU,SCH10,PRG1001,1001-150,01,Hybrid,37
SEC00200,2025SU,SCH10,PRG1001,1001-200,02,Hybrid,40
SEC00201,2025SU,SCH10,PRG1002,1002-150,01,Online,37
SEC00202,2025SU,SCH10,PRG1002,1002-200,02,Hybrid,33
SEC00203,2025SU,SCH10,PRG1003,1003-150,01,Hybrid,40
SEC00204,2025SU,SCH10,PRG1003,1003-200,02,Online,31
SEC00205,2025SU,SCH11,PRG1101,1101-150,01,Hybrid,27
SEC00206,2025SU,SCH11,PRG1101,1101-200,02,In Person,37
SEC00207,2025SU,SCH11,PRG1102,1102-150,01,Hybrid,27
SEC00208,2025SU,SCH11,PRG1102,1102-200,02,Hybrid,37
SEC00209,2025SU,SCH11,PRG1103,1103-150,01,Online,36
SEC00210,2025SU,SCH11,PRG1103,1103-200,02,Hybrid,29
SEC00211,2025SU,SCH12,PRG1201,1201-150,01,Hybrid,36
SEC00212,2025SU,SCH12,PRG1201,1201-200,02,In Person,30
SEC00213,2025SU,SCH12,PRG1202,1202-150,01,Hybrid,34
SEC00214,2025SU,SCH12,PRG1202,1202-200,02,In Person,32
SEC00215,2025SU,SCH12,PRG1203,1203-150,01,Online,28
SEC00216,2025SU,SCH12,PRG1203,1203-200,02,Hybrid,26
SEC00217,2025FA,SCH01,PRG0101,0101-150,01,In Person,41
SEC00218,2025FA,SCH01,PRG0101,0101-200,02,Online,36
