deposit_id,admission_id,deposit_date,deposit_status,deposit_amount
DEP00001,ADM00007,2025-06-30,Paid,250.00
DEP00002,ADM00010,2025-03-06,Paid,250.00
DEP00003,ADM00011,2026-04-23,Paid,250.00
DEP00004,ADM00012,2025-03-17,Paid,250.00
DEP00005,ADM00016,2024-11-28,Paid,250.00
DEP00006,ADM00017,2025-04-06,Paid,250.00
DEP00007,ADM00020,2025-11-16,Paid,250.00
DEP00008,ADM00021,2024-12-22,Paid,250.00
DEP00009,ADM00022,2025-04-12,Paid,250.00
DEP00010,ADM00024,2026-05-11,Paid,250.00
DEP00011,ADM00025,2025-06-07,Paid,250.00
DEP00012,ADM00026,2026-04-06,Paid,250.00
DEP00013,ADM00027,2025-04-30,Paid,250.00
DEP00014,ADM00028,2025-07-09,Paid,250.00
DEP00015,ADM00029,2026-03-19,Paid,250.00
DEP00016,ADM00031,2025-02-06,Paid,250.00
DEP00017,ADM00032,2025-04-25,Paid,250.00
DEP00018,ADM00035,2024-10-02,Paid,250.00
DEP00019,ADM00037,2025-12-24,Paid,250.00
DEP00020,ADM00038,2025-03-20,Paid,250.00
DEP00021,ADM00039,2025-08-09,Paid,250.00
DEP00022,ADM00040,2025-11-22,Paid,250.00
DEP00023,ADM00041,2024-10-31,Paid,250.00
DEP00024,ADM00044,2025-12-13,Paid,250.00
DEP00025,ADM00048,2025-07-16,Paid,250.00
DEP00026,ADM00051,2024-12-15,Paid,250.00
DEP00027,ADM00053,2025-09-05,Paid,250.00
DEP00028,ADM00054,2025-02-23,Paid,250.00
DEP00029,ADM00057,2025-05-27,Paid,250.00
DEP00030,ADM00059,2026-02-04,Paid,250.00
DEP00031,ADM00062,2025-11-18,Paid,250.00
DEP00032,ADM00063,2026-03-22,Paid,250.00
DEP00033,ADM00065,2025-06-29,Paid,250.00
DEP00034,ADM00066,2026-01-10,Paid,250.00
DEP00035,ADM00069,2025-05-11,Paid,250.00
DEP00036,ADM00070,2025-12-21,Paid,250.00
DEP00037,ADM00072,2024-10-28,Paid,250.00
DEP00038,ADM00073,2025-03-20,Paid,250.00
DEP00039,ADM00074,2025-05-20,Paid,250.00
DEP00040,ADM00075,2025-11-06,Paid,250.00
DEP00041,ADM00076,2026-02-11,Paid,250.00
DEP00042,ADM00077,2024-12-31,Paid,250.00
DEP00043,ADM00078,2026-05-22,Paid,250.00
DEP00044,ADM00081,2026-03-27,Paid,250.00
DEP00045,ADM00082,2024-10-24,Paid,250.00
DEP00046,ADM00084,2026-01-15,Paid,250.00
DEP00047,ADM00085,2024-12-10,Paid,250.00
DEP00048,ADM00091,2025-11-30,Paid,250.00
DEP00049,ADM00094,2025-05-22,Paid,250.00
DEP00050,ADM00095,2026-04-20,Paid,250.00
DEP00051,ADM00096,2025-04-16,Paid,250.00
DEP00052,ADM00097,2025-07-10,Paid,250.00
DEP00053,ADM00098,2025-02-06,Paid,250.00
DEP00054,ADM00102,2026-01-09,Paid,250.00
DEP00055,ADM00103,2026-05-09,Paid,250.00
DEP00056,ADM00104,2025-01-19,Paid,250.00
DEP00057,ADM00105,2025-01-29,Paid,250.00
DEP00058,ADM00106,2026-02-23,Paid,250.00
DEP00059,ADM00107,2025-02-10,Paid,250.00
DEP00060,ADM00108,2025-06-23,Paid,250.00
DEP00061,ADM00110,2024-11-27,Paid,250.00
DEP00062,ADM00112,2025-07-16,Paid,250.00
DEP00063,ADM00114,2025-04-16,Paid,250.00
DEP00064,ADM00117,2026-04-30,Paid,250.00
DEP00065,ADM00121,2026-05-13,Paid,250.00
DEP00066,ADM00122,2024-12-15,Paid,250.00
DEP00067,ADM00123,2025-04-06,Paid,250.00
DEP00068,ADM00124,2025-05-09,Paid,250.00
DEP00069,ADM00127,2025-12-19,Paid,250.00
DEP00070,ADM00129,2024-10-03,Paid,250.00
DEP00071,ADM00130,2024-12-12,Paid,250.00
DEP00072,ADM00134,2025-03-22,Paid,250.00
DEP00073,ADM00136,2024-11-08,Paid,250.00
DEP00074,ADM00137,2025-03-13,Paid,250.00
DEP00075,ADM00138,2025-09-26,Paid,250.00
DEP00076,ADM00139,2024-12-02,Paid,250.00
DEP00077,ADM00140,2025-04-30,Paid,250.00
DEP00078,ADM00145,2025-06-08,Paid,250.00
DEP00079,ADM00147,2025-04-27,Paid,250.00
DEP00080,ADM00149,2025-01-30,Paid,250.00
DEP00081,ADM00151,2026-02-08,Paid,250.00
DEP00082,ADM00152,2024-11-14,Paid,250.00
DEP00083,ADM00153,2025-03-16,Paid,250.00
DEP00084,ADM00156,2024-11-12,Paid,250.00
DEP00085,ADM00158,2025-07-31,Paid,250.00
DEP00086,ADM00159,2025-12-28,Paid,250.00
DEP00087,ADM00162,2025-06-13,Paid,250.00
DEP00088,ADM00163,2025-11-24,Paid,250.00
DEP00089,ADM00168,2026-04-25,Paid,250.00
DEP00090,ADM00170,2025-06-12,Paid,250.00
DEP00091,ADM00172,2024-11-06,Paid,250.00
DEP00092,ADM00174,2025-08-28,Paid,250.00
DEP00093,ADM00175,2026-02-27,Paid,250.00
DEP00094,ADM00177,2025-04-22,Paid,250.00
DEP00095,ADM00178,2025-12-21,Paid,250.00
DEP00096,ADM00179,2026-04-02,Paid,250.00
DEP00097,ADM00182,2025-08-28,Paid,250.00
DEP00098,ADM00183,2025-11-13,Paid,250.00
DEP00099,ADM00185,2025-04-28,Paid,250.00
DEP00100,ADM00186,2025-12-12,Paid,250.00
DEP00101,ADM00187,2024-11-02,Paid,250.00
DEP00102,ADM00188,2025-09-02,Paid,250.00
DEP00103,ADM00194,2025-07-04,Paid,250.00
DEP00104,ADM00196,2026-02-24,Paid,250.00
DEP00105,ADM00197,2024-10-21,Paid,250.00
DEP00106,ADM00198,2025-03-22,Paid,250.00
DEP00107,ADM00199,2026-01-28,Paid,250.00
DEP00108,ADM00200,2026-02-12,Paid,250.00
DEP00109,ADM00201,2025-01-03,Paid,250.00
