enrollment_id,student_id,term_id,school_id,program_id,census_enrolled_flag,ipeds_enrolled_flag,total_credit_hours,enrollment_status
ENR000001,STU00001,2025FA,SCH01,PRG0101,true,true,6.0,Enrolled
ENR000002,STU00001,2026SU,SCH01,PRG0101,true,true,6.0,Enrolled
ENR000003,STU00001,2026WI,SCH01,PRG0101,true,true,3.0,Enrolled
ENR000004,STU00002,2024FA,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000005,STU00002,2025FA,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000006,STU00002,2025SU,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000007,STU00002,2025WI,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000008,STU00002,2026SU,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000009,STU00002,2026WI,SCH01,PRG0102,true,true,6.0,Enrolled
ENR000010,STU00003,2024FA,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000011,STU00003,2025FA,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000012,STU00003,2025SU,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000013,STU00003,2025WI,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000014,STU00003,2026SU,SCH01,PRG0103,true,true,6.0,Enrolled
ENR000015,STU00004,2024FA,SCH02,PRG0201,true,true,3.0,Enrolled
ENR000016,STU00004,2025FA,SCH02,PRG0201,true,true,6.0,Enrolled
ENR000017,STU00004,2025WI,SCH02,PRG0201,true,true,6.0,Enrolled
ENR000018,STU00004,2026SU,SCH02,PRG0201,true,true,6.0,Enrolled
ENR000019,STU00005,2024FA,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000020,STU00005,2025FA,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000021,STU00005,2025SU,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000022,STU00005,2025WI,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000023,STU00005,2026WI,SCH02,PRG0202,true,true,6.0,Enrolled
ENR000024,STU00006,2025FA,SCH02,PRG0203,true,true,6.0,Enrolled
ENR000025,STU00006,2025WI,SCH02,PRG0203,true,true,6.0,Enrolled
ENR000026,STU00006,2026SU,SCH02,PRG0203,true,true,6.0,Enrolled
ENR000027,STU00006,2026WI,SCH02,PRG0203,true,true,3.0,Enrolled
ENR000028,STU00007,2024FA,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000029,STU00007,2025FA,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000030,STU00007,2025SU,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000031,STU00007,2025WI,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000032,STU00007,2026SU,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000033,STU00007,2026WI,SCH03,PRG0301,true,true,6.0,Enrolled
ENR000034,STU00008,2024FA,SCH03,PRG0302,true,true,6.0,Enrolled
ENR000035,STU00008,2025FA,SCH03,PRG0302,true,true,6.0,Enrolled
ENR000036,STU00008,2025SU,SCH03,PRG0302,true,true,6.0,Enrolled
ENR000037,STU00008,2026WI,SCH03,PRG0302,true,true,6.0,Enrolled
ENR000038,STU00009,2024FA,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000039,STU00009,2025FA,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000040,STU00009,2025SU,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000041,STU00009,2025WI,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000042,STU00009,2026SU,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000043,STU00009,2026WI,SCH03,PRG0303,true,true,6.0,Enrolled
ENR000044,STU00010,2024FA,SCH04,PRG0401,true,true,3.0,Enrolled
ENR000045,STU00010,2025FA,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000046,STU00010,2025SU,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000047,STU00010,2025WI,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000048,STU00010,2026SU,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000049,STU00010,2026WI,SCH04,PRG0401,true,true,6.0,Enrolled
ENR000050,STU00011,2024FA,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000051,STU00011,2025FA,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000052,STU00011,2025SU,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000053,STU00011,2025WI,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000054,STU00011,2026SU,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000055,STU00011,2026WI,SCH04,PRG0402,true,true,6.0,Enrolled
ENR000056,STU00012,2024FA,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000057,STU00012,2025FA,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000058,STU00012,2025SU,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000059,STU00012,2025WI,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000060,STU00012,2026WI,SCH04,PRG0403,true,true,6.0,Enrolled
ENR000061,STU00013,2024FA,SCH05,PRG0501,true,true,6.0,Enrolled
ENR000062,STU00013,2025FA,SCH05,PRG0501,true,true,6.0,Enrolled
ENR000063,STU00013,2025WI,SCH05,PRG0501,true,true,6.0,Enrolled
ENR000064,STU00013,2026SU,SCH05,PRG0501,true,true,6.0,Enrolled
ENR000065,STU00014,2025FA,SCH05,PRG0502,true,true,6.0,Enrolled
ENR000066,STU00014,2025SU,SCH05,PRG0502,true,true,6.0,Enrolled
ENR000067,STU00014,2025WI,SCH05,PRG0502,true,true,3.0,Enrolled
ENR000068,STU00014,2026WI,SCH05,PRG0502,true,true,3.0,Enrolled
ENR000069,STU00015,2024FA,SCH05,PRG0503,true,true,6.0,Enrolled
ENR000070,STU00015,2025FA,SCH05,PRG0503,true,true,6.0,Enrolled
ENR000071,STU00015,2025SU,SCH05,PRG0503,true,true,6.0,Enrolled
ENR000072,STU00015,2026WI,SCH05,PRG0503,true,true,3.0,Enrolled
ENR000073,STU00016,2024FA,SCH06,PRG0601,true,true,6.0,Enrolled
ENR000074,STU00016,2025SU,SCH06,PRG0601,true,true,6.0,Enrolled
ENR000075,STU00016,2026SU,SCH06,PRG0601,true,true,6.0,Enrolled
ENR000076,STU00017,2024FA,SCH06,PRG0602,true,true,3.0,Enrolled
ENR000077,STU00017,2025FA,SCH06,PRG0602,true,true,6.0,Enrolled
ENR000078,STU00017,2025SU,SCH06,PRG0602,true,true,3.0,Enrolled
ENR000079,STU00017,2025WI,SCH06,PRG0602,true,true,6.0,Enrolled
