registration_id,student_id,section_id,term_id,school_id,program_id,course_code,section_number,registration_date,registration_status,credit_hours,grade_mode,student_type,residency_status,admit_school_id,admit_program_id,modality,capacity
REG000001,STU00001,SEC00217,2025FA,SCH01,PRG0101,0101-150,01,2025-07-27,Registered,3.0,Pass Fail,Graduate,Out of State,SCH01,PRG0101,In Person,41
REG000002,STU00001,SEC00218,2025FA,SCH01,PRG0101,0101-200,02,2025-08-11,Registered,3.0,Pass Fail,Graduate,Out of State,SCH01,PRG0101,Online,36
REG000003,STU00001,SEC00362,2026SU,SCH01,PRG0101,0101-200,02,2026-04-17,Registered,3.0,Letter,Graduate,Out of State,SCH01,PRG0101,Online,26
REG000004,STU00001,SEC00361,2026SU,SCH01,PRG0101,0101-150,01,2026-04-27,Registered,3.0,Pass Fail,Graduate,Out of State,SCH01,PRG0101,In Person,29
REG000005,STU00001,SEC00289,2026WI,SCH01,PRG0101,0101-150,01,2025-12-31,Dropped,0.0,Pass Fail,Graduate,Out of State,SCH01,PRG0101,Online,33
REG000006,STU00001,SEC00290,2026WI,SCH01,PRG0101,0101-200,02,2025-12-24,Registered,3.0,Audit,Graduate,Out of State,SCH01,PRG0101,In Person,31
REG000007,STU00002,SEC00004,2024FA,SCH01,PRG0102,0102-200,02,2024-08-06,Registered,3.0,Letter,First Time,International,SCH01,PRG0102,Hybrid,38
REG000008,STU00002,SEC00003,2024FA,SCH01,PRG0102,0102-150,01,2024-08-08,Registered,3.0,Pass Fail,First Time,International,SCH01,PRG0102,Hybrid,42
REG000009,STU00002,SEC00220,2025FA,SCH01,PRG0102,0102-200,02,2025-08-10,Registered,3.0,Pass Fail,First Time,International,SCH01,PRG0102,Online,25
REG000010,STU00002,SEC00219,2025FA,SCH01,PRG0102,0102-150,01,2025-08-11,Registered,3.0,Letter,First Time,International,SCH01,PRG0102,Online,38
REG000011,STU00002,SEC00147,2025SU,SCH01,PRG0102,0102-150,01,2025-04-27,Registered,3.0,Audit,First Time,International,SCH01,PRG0102,In Person,36
REG000012,STU00002,SEC00148,2025SU,SCH01,PRG0102,0102-200,02,2025-04-30,Registered,3.0,Letter,First Time,International,SCH01,PRG0102,Hybrid,26
REG000013,STU00002,SEC00076,2025WI,SCH01,PRG0102,0102-200,02,2024-12-15,Registered,3.0,Letter,First Time,International,SCH01,PRG0102,Online,25
REG000014,STU00002,SEC00075,2025WI,SCH01,PRG0102,0102-150,01,2024-12-11,Registered,3.0,Audit,First Time,International,SCH01,PRG0102,Hybrid,25
REG000015,STU00002,SEC00364,2026SU,SCH01,PRG0102,0102-200,02,2026-04-21,Registered,3.0,Letter,First Time,International,SCH01,PRG0102,In Person,32
REG000016,STU00002,SEC00363,2026SU,SCH01,PRG0102,0102-150,01,2026-05-02,Registered,3.0,Audit,First Time,International,SCH01,PRG0102,Hybrid,25
REG000017,STU00002,SEC00292,2026WI,SCH01,PRG0102,0102-200,02,2026-01-02,Registered,3.0,Letter,First Time,International,SCH01,PRG0102,In Person,34
REG000018,STU00002,SEC00291,2026WI,SCH01,PRG0102,0102-150,01,2025-12-08,Registered,3.0,Letter,First Time,International,SCH01,PRG0102,In Person,31
REG000019,STU00003,SEC00006,2024FA,SCH01,PRG0103,0103-200,02,2024-07-24,Registered,3.0,Audit,Graduate,In State,SCH01,PRG0103,Online,35
REG000020,STU00003,SEC00005,2024FA,SCH01,PRG0103,0103-150,01,2024-08-17,Registered,3.0,Audit,Graduate,In State,SCH01,PRG0103,In Person,39
REG000021,STU00003,SEC00221,2025FA,SCH01,PRG0103,0103-150,01,2025-07-24,Registered,3.0,Audit,Graduate,In State,SCH01,PRG0103,Online,27
REG000022,STU00003,SEC00222,2025FA,SCH01,PRG0103,0103-200,02,2025-07-31,Registered,3.0,Pass Fail,Graduate,In State,SCH01,PRG0103,Online,38
REG000023,STU00003,SEC00150,2025SU,SCH01,PRG0103,0103-200,02,2025-05-03,Registered,3.0,Audit,Graduate,In State,SCH01,PRG0103,Online,40
REG000024,STU00003,SEC00149,2025SU,SCH01,PRG0103,0103-150,01,2025-05-01,Registered,3.0,Audit,Graduate,In State,SCH01,PRG0103,Online,25
REG000025,STU00003,SEC00077,2025WI,SCH01,PRG0103,0103-150,01,2024-12-22,Registered,3.0,Pass Fail,Graduate,In State,SCH01,PRG0103,In Person,40
REG000026,STU00003,SEC00078,2025WI,SCH01,PRG0103,0103-200,02,2025-01-01,Withdrawn,3.0,Pass Fail,Graduate,In State,SCH01,PRG0103,Online,35
REG000027,STU00003,SEC00365,2026SU,SCH01,PRG0103,0103-150,01,2026-04-23,Registered,3.0,Pass Fail,Graduate,In State,SCH01,PRG0103,In Person,39
REG000028,STU00003,SEC00366,2026SU,SCH01,PRG0103,0103-200,02,2026-04-19,Withdrawn,3.0,Letter,Graduate,In State,SCH01,PRG0103,Hybrid,29
REG000029,STU00004,SEC00008,2024FA,SCH02,PRG0201,0201-200,02,2024-08-08,Dropped,0.0,Letter,Continuing,Out of State,SCH02,PRG0201,In Person,25
REG000030,STU00004,SEC00007,2024FA,SCH02,PRG0201,0201-150,01,2024-07-31,Registered,3.0,Letter,Continuing,Out of State,SCH02,PRG0201,Online,26
REG000031,STU00004,SEC00223,2025FA,SCH02,PRG0201,0201-150,01,2025-07-29,Registered,3.0,Pass Fail,Continuing,Out of State,SCH02,PRG0201,Hybrid,30
REG000032,STU00004,SEC00224,2025FA,SCH02,PRG0201,0201-200,02,2025-08-16,Registered,3.0,Letter,Continuing,Out of State,SCH02,PRG0201,Hybrid,41
REG000033,STU00004,SEC00079,2025WI,SCH02,PRG0201,0201-150,01,2024-12-27,Registered,3.0,Pass Fail,Continuing,Out of State,SCH02,PRG0201,Online,26
