application_id,student_id,term_id,school_id,program_id,application_date,application_status,admission_id,decision_date,decision_status,deposit_id,deposit_date,deposit_status,deposit_amount,is_admitted,is_deposited
APP00001,STU00008,2025SU,SCH02,PRG0203,2024-12-26,Submitted,ADM00001,2025-01-06,Admitted,,,,,t,f
APP00002,STU00015,2025FA,SCH04,PRG0402,2025-05-27,Submitted,ADM00002,2025-07-02,Admitted,,,,,t,f
APP00003,STU00022,2026WI,SCH06,PRG0601,2025-11-01,Submitted,ADM00003,2025-11-12,Admitted,,,,,t,f
APP00004,STU00029,2026SU,SCH07,PRG0703,2026-01-05,Submitted,ADM00004,2026-02-11,Admitted,,,,,t,f
APP00005,STU00036,2025WI,SCH09,PRG0902,2024-10-25,Submitted,ADM00005,2024-11-08,Admitted,,,,,t,f
APP00006,STU00043,2025SU,SCH11,PRG1101,2025-01-25,Submitted,ADM00006,2025-03-01,Admitted,,,,,t,f
APP00007,STU00050,2025FA,SCH12,PRG1203,2025-05-17,Submitted,ADM00007,2025-06-27,Admitted,DEP00001,2025-06-30,Paid,250.00,t,t
APP00008,STU00057,2026WI,SCH02,PRG0202,2025-08-24,Submitted,ADM00008,2025-10-04,Admitted,,,,,t,f
APP00009,STU00064,2026SU,SCH04,PRG0401,2026-03-29,Cancelled,,,,,,,,f,f
APP00010,STU00071,2025WI,SCH05,PRG0503,2024-09-26,Submitted,ADM00009,2024-10-18,Admitted,,,,,t,f
APP00011,STU00078,2025SU,SCH07,PRG0702,2025-01-31,Submitted,ADM00010,2025-03-01,Admitted,DEP00002,2025-03-06,Paid,250.00,t,t
APP00012,STU00085,2025FA,SCH09,PRG0901,2025-05-18,Submitted,,,,,,,,f,f
APP00013,STU00092,2026WI,SCH10,PRG1003,2025-10-27,Submitted,,,,,,,,f,f
APP00014,STU00099,2026SU,SCH12,PRG1202,2026-03-01,Submitted,ADM00011,2026-04-03,Admitted,DEP00003,2026-04-23,Paid,250.00,t,t
APP00015,STU00106,2025WI,SCH02,PRG0201,2024-11-17,Submitted,,,,,,,,f,f
APP00016,STU00113,2025SU,SCH03,PRG0303,2025-02-22,Submitted,ADM00012,2025-03-09,Admitted,DEP00004,2025-03-17,Paid,250.00,t,t
APP00017,STU00120,2025FA,SCH05,PRG0502,2025-04-13,Submitted,ADM00013,2025-04-29,Admitted,,,,,t,f
APP00018,STU00127,2026WI,SCH07,PRG0701,2025-09-19,Submitted,ADM00014,2025-10-20,Admitted,,,,,t,f
APP00019,STU00134,2026SU,SCH08,PRG0803,2025-12-21,Submitted,ADM00015,2026-01-11,Admitted,,,,,t,f
APP00020,STU00141,2025WI,SCH10,PRG1002,2024-10-10,Submitted,ADM00016,2024-11-06,Admitted,DEP00005,2024-11-28,Paid,250.00,t,t
APP00021,STU00148,2025SU,SCH12,PRG1201,2025-03-06,Submitted,ADM00017,2025-04-01,Admitted,DEP00006,2025-04-06,Paid,250.00,t,t
APP00022,STU00155,2025FA,SCH01,PRG0103,2025-05-01,Submitted,ADM00018,2025-05-21,Admitted,,,,,t,f
APP00023,STU00162,2026WI,SCH03,PRG0302,2025-11-09,Submitted,,,,,,,,f,f
APP00024,STU00169,2026SU,SCH05,PRG0501,2026-01-04,Cancelled,,,,,,,,f,f
APP00025,STU00176,2025WI,SCH06,PRG0603,2024-10-06,Submitted,ADM00019,2024-10-16,Admitted,,,,,t,f
APP00026,STU00183,2025SU,SCH08,PRG0802,2025-02-22,Submitted,,,,,,,,f,f
APP00027,STU00190,2025FA,SCH10,PRG1001,2025-04-15,Submitted,,,,,,,,f,f
APP00028,STU00197,2026WI,SCH11,PRG1103,2025-10-07,Submitted,ADM00020,2025-10-26,Admitted,DEP00007,2025-11-16,Paid,250.00,t,t
APP00029,STU00204,2026SU,SCH01,PRG0102,2025-12-24,Cancelled,,,,,,,,f,f
APP00030,STU00211,2025WI,SCH03,PRG0301,2024-11-25,Submitted,ADM00021,2024-12-19,Admitted,DEP00008,2024-12-22,Paid,250.00,t,t
APP00031,STU00218,2025SU,SCH04,PRG0403,2025-02-23,Submitted,ADM00022,2025-03-27,Admitted,DEP00009,2025-04-12,Paid,250.00,t,t
APP00032,STU00225,2025FA,SCH06,PRG0602,2025-04-11,Submitted,ADM00023,2025-04-29,Admitted,,,,,t,f
