registration_id,student_id,section_id,term_id,registration_date,registration_status,credit_hours,grade_mode
REG000001,STU00001,SEC00217,2025FA,2025-07-27,Registered,3.0,Pass Fail
REG000002,STU00001,SEC00218,2025FA,2025-08-11,Registered,3.0,Pass Fail
REG000003,STU00001,SEC00362,2026SU,2026-04-17,Registered,3.0,Letter
REG000004,STU00001,SEC00361,2026SU,2026-04-27,Registered,3.0,Pass Fail
REG000005,STU00001,SEC00289,2026WI,2025-12-31,Dropped,0.0,Pass Fail
REG000006,STU00001,SEC00290,2026WI,2025-12-24,Registered,3.0,Audit
REG000007,STU00002,SEC00004,2024FA,2024-08-06,Registered,3.0,Letter
REG000008,STU00002,SEC00003,2024FA,2024-08-08,Registered,3.0,Pass Fail
REG000009,STU00002,SEC00220,2025FA,2025-08-10,Registered,3.0,Pass Fail
REG000010,STU00002,SEC00219,2025FA,2025-08-11,Registered,3.0,Letter
REG000011,STU00002,SEC00147,2025SU,2025-04-27,Registered,3.0,Audit
REG000012,STU00002,SEC00148,2025SU,2025-04-30,Registered,3.0,Letter
REG000013,STU00002,SEC00076,2025WI,2024-12-15,Registered,3.0,Letter
REG000014,STU00002,SEC00075,2025WI,2024-12-11,Registered,3.0,Audit
REG000015,STU00002,SEC00364,2026SU,2026-04-21,Registered,3.0,Letter
REG000016,STU00002,SEC00363,2026SU,2026-05-02,Registered,3.0,Audit
REG000017,STU00002,SEC00292,2026WI,2026-01-02,Registered,3.0,Letter
REG000018,STU00002,SEC00291,2026WI,2025-12-08,Registered,3.0,Letter
REG000019,STU00003,SEC00006,2024FA,2024-07-24,Registered,3.0,Audit
REG000020,STU00003,SEC00005,2024FA,2024-08-17,Registered,3.0,Audit
REG000021,STU00003,SEC00221,2025FA,2025-07-24,Registered,3.0,Audit
REG000022,STU00003,SEC00222,2025FA,2025-07-31,Registered,3.0,Pass Fail
REG000023,STU00003,SEC00150,2025SU,2025-05-03,Registered,3.0,Audit
REG000024,STU00003,SEC00149,2025SU,2025-05-01,Registered,3.0,Audit
REG000025,STU00003,SEC00077,2025WI,2024-12-22,Registered,3.0,Pass Fail
REG000026,STU00003,SEC00078,2025WI,2025-01-01,Withdrawn,3.0,Pass Fail
REG000027,STU00003,SEC00365,2026SU,2026-04-23,Registered,3.0,Pass Fail
REG000028,STU00003,SEC00366,2026SU,2026-04-19,Withdrawn,3.0,Letter
REG000029,STU00004,SEC00008,2024FA,2024-08-08,Dropped,0.0,Letter
REG000030,STU00004,SEC00007,2024FA,2024-07-31,Registered,3.0,Letter
REG000031,STU00004,SEC00223,2025FA,2025-07-29,Registered,3.0,Pass Fail
REG000032,STU00004,SEC00224,2025FA,2025-08-16,Registered,3.0,Letter
REG000033,STU00004,SEC00079,2025WI,2024-12-27,Registered,3.0,Pass Fail
REG000034,STU00004,SEC00080,2025WI,2024-12-26,Registered,3.0,Audit
REG000035,STU00004,SEC00367,2026SU,2026-04-19,Registered,3.0,Letter
REG000036,STU00004,SEC00368,2026SU,2026-04-14,Registered,3.0,Letter
REG000037,STU00005,SEC00009,2024FA,2024-08-08,Registered,3.0,Audit
REG000038,STU00005,SEC00010,2024FA,2024-08-09,Registered,3.0,Pass Fail
REG000039,STU00005,SEC00225,2025FA,2025-08-02,Registered,3.0,Letter
REG000040,STU00005,SEC00226,2025FA,2025-07-24,Registered,3.0,Pass Fail
REG000041,STU00005,SEC00153,2025SU,2025-04-29,Registered,3.0,Audit
REG000042,STU00005,SEC00154,2025SU,2025-04-16,Registered,3.0,Letter
REG000043,STU00005,SEC00081,2025WI,2024-12-13,Registered,3.0,Audit
REG000044,STU00005,SEC00082,2025WI,2024-12-24,Registered,3.0,Audit
REG000045,STU00005,SEC00298,2026WI,2025-12-19,Withdrawn,3.0,Pass Fail
REG000046,STU00005,SEC00297,2026WI,2025-12-08,Registered,3.0,Audit
REG000047,STU00006,SEC00227,2025FA,2025-08-12,Registered,3.0,Pass Fail
REG000048,STU00006,SEC00228,2025FA,2025-08-17,Registered,3.0,Audit
REG000049,STU00006,SEC00084,2025WI,2024-12-24,Registered,3.0,Pass Fail
REG000050,STU00006,SEC00083,2025WI,2024-12-30,Registered,3.0,Letter
REG000051,STU00006,SEC00372,2026SU,2026-04-26,Registered,3.0,Audit
REG000052,STU00006,SEC00371,2026SU,2026-04-19,Registered,3.0,Audit
REG000053,STU00006,SEC00300,2026WI,2025-12-10,Registered,3.0,Pass Fail
REG000054,STU00006,SEC00299,2026WI,2025-12-10,Dropped,0.0,Audit
REG000055,STU00007,SEC00014,2024FA,2024-08-13,Registered,3.0,Audit
REG000056,STU00007,SEC00013,2024FA,2024-08-05,Registered,3.0,Audit
REG000057,STU00007,SEC00230,2025FA,2025-08-11,Registered,3.0,Letter
REG000058,STU00007,SEC00229,2025FA,2025-08-06,Registered,3.0,Letter
REG000059,STU00007,SEC00158,2025SU,2025-04-27,Registered,3.0,Audit
REG000060,STU00007,SEC00157,2025SU,2025-05-02,Registered,3.0,Letter
REG000061,STU00007,SEC00086,2025WI,2025-01-02,Registered,3.0,Audit
REG000062,STU00007,SEC00085,2025WI,2025-01-01,Registered,3.0,Pass Fail
REG000063,STU00007,SEC00373,2026SU,2026-04-16,Withdrawn,3.0,Audit
REG000064,STU00007,SEC00374,2026SU,2026-04-22,Registered,3.0,Letter
REG000065,STU00007,SEC00301,2026WI,2025-12-13,Withdrawn,3.0,Pass Fail
REG000066,STU00007,SEC00302,2026WI,2025-12-11,Registered,3.0,Audit
REG000067,STU00008,SEC00016,2024FA,2024-08-01,Registered,3.0,Pass Fail
REG000068,STU00008,SEC00015,2024FA,2024-08-02,Registered,3.0,Letter
REG000069,STU00008,SEC00232,2025FA,2025-08-16,Withdrawn,3.0,Audit
REG000070,STU00008,SEC00231,2025FA,2025-08-16,Registered,3.0,Audit
REG000071,STU00008,SEC00159,2025SU,2025-04-29,Registered,3.0,Pass Fail
REG000072,STU00008,SEC00160,2025SU,2025-04-20,Registered,3.0,Pass Fail
REG000073,STU00008,SEC00304,2026WI,2026-01-02,Registered,3.0,Letter
REG000074,STU00008,SEC00303,2026WI,2026-01-02,Registered,3.0,Letter
REG000075,STU00009,SEC00017,2024FA,2024-07-26,Registered,3.0,Audit
REG000076,STU00009,SEC00018,2024FA,2024-08-05,Registered,3.0,Letter
REG000077,STU00009,SEC00234,2025FA,2025-08-14,Registered,3.0,Pass Fail
REG000078,STU00009,SEC00233,2025FA,2025-07-27,Registered,3.0,Audit
REG000079,STU00009,SEC00162,2025SU,2025-04-08,Registered,3.0,Letter
REG000080,STU00009,SEC00161,2025SU,2025-04-20,Registered,3.0,Audit
REG000081,STU00009,SEC00089,2025WI,2024-12-26,Registered,3.0,Letter
REG000082,STU00009,SEC00090,2025WI,2024-12-20,Registered,3.0,Pass Fail
REG000083,STU00009,SEC00378,2026SU,2026-04-20,Registered,3.0,Audit
REG000084,STU00009,SEC00377,2026SU,2026-05-03,Registered,3.0,Letter
REG000085,STU00009,SEC00305,2026WI,2025-12-22,Registered,3.0,Letter
REG000086,STU00009,SEC00306,2026WI,2025-12-16,Registered,3.0,Pass Fail
REG000087,STU00010,SEC00020,2024FA,2024-08-06,Registered,3.0,Audit
REG000088,STU00010,SEC00019,2024FA,2024-08-12,Dropped,0.0,Letter
REG000089,STU00010,SEC00235,2025FA,2025-08-14,Registered,3.0,Letter
REG000090,STU00010,SEC00236,2025FA,2025-08-13,Registered,3.0,Letter
REG000091,STU00010,SEC00164,2025SU,2025-04-16,Registered,3.0,Pass Fail
REG000092,STU00010,SEC00163,2025SU,2025-04-25,Registered,3.0,Audit
REG000093,STU00010,SEC00091,2025WI,2024-12-18,Registered,3.0,Audit
REG000094,STU00010,SEC00092,2025WI,2025-01-02,Registered,3.0,Letter
REG000095,STU00010,SEC00380,2026SU,2026-04-29,Registered,3.0,Pass Fail
REG000096,STU00010,SEC00379,2026SU,2026-05-01,Registered,3.0,Pass Fail
REG000097,STU00010,SEC00307,2026WI,2025-12-27,Registered,3.0,Letter
REG000098,STU00010,SEC00308,2026WI,2025-12-21,Registered,3.0,Audit
REG000099,STU00011,SEC00022,2024FA,2024-07-22,Registered,3.0,Audit
REG000100,STU00011,SEC00021,2024FA,2024-07-27,Registered,3.0,Audit
REG000101,STU00011,SEC00238,2025FA,2025-08-03,Registered,3.0,Letter
REG000102,STU00011,SEC00237,2025FA,2025-08-06,Registered,3.0,Audit
REG000103,STU00011,SEC00165,2025SU,2025-04-15,Registered,3.0,Pass Fail
REG000104,STU00011,SEC00166,2025SU,2025-04-17,Registered,3.0,Letter
REG000105,STU00011,SEC00093,2025WI,2024-12-09,Registered,3.0,Audit
REG000106,STU00011,SEC00094,2025WI,2024-12-24,Registered,3.0,Letter
REG000107,STU00011,SEC00382,2026SU,2026-04-17,Registered,3.0,Pass Fail
REG000108,STU00011,SEC00381,2026SU,2026-04-17,Withdrawn,3.0,Letter
REG000109,STU00011,SEC00309,2026WI,2025-12-17,Registered,3.0,Audit
REG000110,STU00011,SEC00310,2026WI,2025-12-14,Registered,3.0,Audit
REG000111,STU00012,SEC00023,2024FA,2024-08-07,Registered,3.0,Pass Fail
REG000112,STU00012,SEC00024,2024FA,2024-08-15,Registered,3.0,Audit
REG000113,STU00012,SEC00240,2025FA,2025-08-16,Registered,3.0,Letter
REG000114,STU00012,SEC00239,2025FA,2025-07-29,Registered,3.0,Audit
REG000115,STU00012,SEC00168,2025SU,2025-05-01,Registered,3.0,Audit
REG000116,STU00012,SEC00167,2025SU,2025-05-02,Registered,3.0,Pass Fail
REG000117,STU00012,SEC00096,2025WI,2024-12-16,Registered,3.0,Pass Fail
REG000118,STU00012,SEC00095,2025WI,2024-12-11,Registered,3.0,Pass Fail
REG000119,STU00012,SEC00311,2026WI,2025-12-15,Registered,3.0,Pass Fail
REG000120,STU00012,SEC00312,2026WI,2025-12-25,Registered,3.0,Audit
REG000121,STU00013,SEC00026,2024FA,2024-08-03,Registered,3.0,Letter
REG000122,STU00013,SEC00025,2024FA,2024-08-09,Registered,3.0,Pass Fail
REG000123,STU00013,SEC00242,2025FA,2025-07-22,Registered,3.0,Letter
REG000124,STU00013,SEC00241,2025FA,2025-07-31,Registered,3.0,Pass Fail
REG000125,STU00013,SEC00098,2025WI,2024-12-13,Registered,3.0,Audit
REG000126,STU00013,SEC00097,2025WI,2024-12-31,Registered,3.0,Audit
REG000127,STU00013,SEC00385,2026SU,2026-04-12,Registered,3.0,Pass Fail
REG000128,STU00013,SEC00386,2026SU,2026-04-20,Registered,3.0,Pass Fail
REG000129,STU00014,SEC00244,2025FA,2025-07-28,Registered,3.0,Pass Fail
REG000130,STU00014,SEC00243,2025FA,2025-08-15,Registered,3.0,Pass Fail
REG000131,STU00014,SEC00172,2025SU,2025-04-18,Registered,3.0,Letter
REG000132,STU00014,SEC00171,2025SU,2025-04-11,Registered,3.0,Letter
REG000133,STU00014,SEC00099,2025WI,2025-01-01,Registered,3.0,Pass Fail
REG000134,STU00014,SEC00100,2025WI,2024-12-25,Dropped,0.0,Audit
REG000135,STU00014,SEC00315,2026WI,2025-12-27,Registered,3.0,Audit
REG000136,STU00014,SEC00316,2026WI,2025-12-25,Dropped,0.0,Letter
REG000137,STU00015,SEC00029,2024FA,2024-08-12,Registered,3.0,Letter
REG000138,STU00015,SEC00030,2024FA,2024-08-10,Registered,3.0,Pass Fail
REG000139,STU00015,SEC00245,2025FA,2025-08-06,Registered,3.0,Audit
REG000140,STU00015,SEC00246,2025FA,2025-08-14,Registered,3.0,Audit
REG000141,STU00015,SEC00174,2025SU,2025-04-17,Registered,3.0,Audit
REG000142,STU00015,SEC00173,2025SU,2025-04-12,Registered,3.0,Audit
REG000143,STU00015,SEC00317,2026WI,2026-01-03,Registered,3.0,Audit
REG000144,STU00015,SEC00318,2026WI,2026-01-01,Dropped,0.0,Letter
REG000145,STU00016,SEC00031,2024FA,2024-08-02,Registered,3.0,Pass Fail
REG000146,STU00016,SEC00032,2024FA,2024-08-06,Registered,3.0,Audit
REG000147,STU00016,SEC00175,2025SU,2025-04-19,Registered,3.0,Audit
REG000148,STU00016,SEC00176,2025SU,2025-04-28,Registered,3.0,Audit
REG000149,STU00016,SEC00392,2026SU,2026-05-02,Registered,3.0,Letter
REG000150,STU00016,SEC00391,2026SU,2026-04-12,Registered,3.0,Pass Fail
REG000151,STU00017,SEC00033,2024FA,2024-08-12,Dropped,0.0,Letter
REG000152,STU00017,SEC00034,2024FA,2024-08-12,Registered,3.0,Audit
REG000153,STU00017,SEC00249,2025FA,2025-07-21,Registered,3.0,Audit
REG000154,STU00017,SEC00250,2025FA,2025-08-15,Registered,3.0,Letter
REG000155,STU00017,SEC00177,2025SU,2025-05-01,Registered,3.0,Pass Fail
REG000156,STU00017,SEC00178,2025SU,2025-04-20,Dropped,0.0,Pass Fail
REG000157,STU00017,SEC00106,2025WI,2024-12-26,Registered,3.0,Audit
REG000158,STU00017,SEC00105,2025WI,2024-12-19,Registered,3.0,Pass Fail
REG000159,STU00017,SEC00393,2026SU,2026-04-14,Registered,3.0,Audit
REG000160,STU00017,SEC00394,2026SU,2026-04-19,Registered,3.0,Audit
REG000161,STU00017,SEC00322,2026WI,2025-12-08,Registered,3.0,Letter
REG000162,STU00017,SEC00321,2026WI,2025-12-25,Registered,3.0,Audit
REG000163,STU00018,SEC00035,2024FA,2024-08-07,Registered,3.0,Pass Fail
REG000164,STU00018,SEC00036,2024FA,2024-07-25,Registered,3.0,Letter
REG000165,STU00018,SEC00252,2025FA,2025-08-04,Dropped,0.0,Letter
REG000166,STU00018,SEC00251,2025FA,2025-07-24,Registered,3.0,Pass Fail
REG000167,STU00018,SEC00180,2025SU,2025-04-17,Registered,3.0,Audit
REG000168,STU00018,SEC00179,2025SU,2025-04-15,Registered,3.0,Audit
REG000169,STU00018,SEC00107,2025WI,2025-01-03,Registered,3.0,Pass Fail
REG000170,STU00018,SEC00108,2025WI,2024-12-30,Registered,3.0,Letter
REG000171,STU00018,SEC00395,2026SU,2026-04-08,Dropped,0.0,Pass Fail
REG000172,STU00018,SEC00396,2026SU,2026-04-27,Registered,3.0,Pass Fail
REG000173,STU00018,SEC00323,2026WI,2025-12-09,Registered,3.0,Pass Fail
REG000174,STU00018,SEC00324,2026WI,2025-12-11,Registered,3.0,Pass Fail
REG000175,STU00019,SEC00037,2024FA,2024-08-11,Registered,3.0,Pass Fail
REG000176,STU00019,SEC00038,2024FA,2024-07-24,Registered,3.0,Pass Fail
REG000177,STU00019,SEC00254,2025FA,2025-07-27,Registered,3.0,Pass Fail
REG000178,STU00019,SEC00253,2025FA,2025-08-13,Registered,3.0,Pass Fail
REG000179,STU00019,SEC00181,2025SU,2025-04-12,Registered,3.0,Pass Fail
REG000180,STU00019,SEC00182,2025SU,2025-05-04,Registered,3.0,Pass Fail
REG000181,STU00019,SEC00109,2025WI,2024-12-19,Dropped,0.0,Audit
REG000182,STU00019,SEC00110,2025WI,2024-12-23,Registered,3.0,Letter
REG000183,STU00019,SEC00398,2026SU,2026-04-06,Registered,3.0,Audit
REG000184,STU00019,SEC00397,2026SU,2026-04-08,Withdrawn,3.0,Audit
REG000185,STU00019,SEC00326,2026WI,2025-12-08,Registered,3.0,Pass Fail
REG000186,STU00019,SEC00325,2026WI,2025-12-09,Registered,3.0,Letter
REG000187,STU00020,SEC00040,2024FA,2024-08-13,Registered,3.0,Letter
REG000188,STU00020,SEC00039,2024FA,2024-08-17,Registered,3.0,Audit
REG000189,STU00020,SEC00255,2025FA,2025-08-16,Registered,3.0,Audit
REG000190,STU00020,SEC00256,2025FA,2025-07-28,Registered,3.0,Audit
REG000191,STU00020,SEC00183,2025SU,2025-04-10,Registered,3.0,Audit
REG000192,STU00020,SEC00184,2025SU,2025-04-27,Registered,3.0,Pass Fail
REG000193,STU00020,SEC00111,2025WI,2025-01-03,Registered,3.0,Pass Fail
REG000194,STU00020,SEC00112,2025WI,2024-12-31,Registered,3.0,Letter
REG000195,STU00020,SEC00399,2026SU,2026-04-28,Registered,3.0,Letter
REG000196,STU00020,SEC00400,2026SU,2026-04-22,Registered,3.0,Audit
REG000197,STU00020,SEC00328,2026WI,2025-12-09,Registered,3.0,Letter
REG000198,STU00020,SEC00327,2026WI,2025-12-25,Registered,3.0,Audit
REG000199,STU00021,SEC00185,2025SU,2025-04-27,Registered,3.0,Letter
REG000200,STU00021,SEC00186,2025SU,2025-05-01,Registered,3.0,Pass Fail
REG000201,STU00021,SEC00114,2025WI,2024-12-13,Withdrawn,3.0,Pass Fail
REG000202,STU00021,SEC00113,2025WI,2024-12-09,Dropped,0.0,Pass Fail
REG000203,STU00021,SEC00329,2026WI,2025-12-28,Registered,3.0,Audit
REG000204,STU00021,SEC00330,2026WI,2025-12-20,Registered,3.0,Audit
REG000205,STU00022,SEC00187,2025SU,2025-04-20,Registered,3.0,Audit
