student_id,student_type,residency_status,entry_term_id,admit_school_id,admit_program_id,synthetic_birth_year
STU00001,Graduate,Out of State,2025FA,SCH01,PRG0101,1987
STU00002,First Time,International,2025SU,SCH01,PRG0102,2000
STU00003,Graduate,In State,2025SU,SCH01,PRG0103,1993
STU00004,Continuing,Out of State,2025FA,SCH02,PRG0201,1984
STU00005,First Time,In State,2025WI,SCH02,PRG0202,1990
STU00006,Transfer,International,2025SU,SCH02,PRG0203,2008
STU00007,Continuing,International,2025FA,SCH03,PRG0301,1981
STU00008,Transfer,In State,2025SU,SCH03,PRG0302,1987
STU00009,First Time,International,2025WI,SCH03,PRG0303,1988
STU00010,First Time,International,2025WI,SCH04,PRG0401,1980
STU00011,First Time,International,2025FA,SCH04,PRG0402,1988
STU00012,Transfer,Out of State,2025SU,SCH04,PRG0403,1995
STU00013,Continuing,In State,2024FA,SCH05,PRG0501,1997
STU00014,Transfer,International,2024FA,SCH05,PRG0502,1996
STU00015,Continuing,In State,2025WI,SCH05,PRG0503,2007
STU00016,First Time,In State,2025FA,SCH06,PRG0601,1982
STU00017,First Time,In State,2025WI,SCH06,PRG0602,1993
STU00018,Graduate,In State,2025WI,SCH06,PRG0603,1984
STU00019,First Time,Out of State,2025FA,SCH07,PRG0701,2006
STU00020,First Time,Out of State,2025WI,SCH07,PRG0702,1989
STU00021,Transfer,Out of State,2025SU,SCH07,PRG0703,2004
STU00022,First Time,International,2025FA,SCH08,PRG0801,1978
STU00023,Continuing,International,2025SU,SCH08,PRG0802,1989
STU00024,First Time,International,2024FA,SCH08,PRG0803,1988
STU00025,Continuing,In State,2025WI,SCH09,PRG0901,1994
STU00026,Graduate,Out of State,2024FA,SCH09,PRG0902,1983
STU00027,First Time,International,2025SU,SCH09,PRG0903,1986
STU00028,Transfer,International,2025SU,SCH10,PRG1001,1991
STU00029,Continuing,In State,2024FA,SCH10,PRG1002,1983
STU00030,Transfer,Out of State,2025SU,SCH10,PRG1003,1994
STU00031,Continuing,Out of State,2025WI,SCH11,PRG1101,1985
STU00032,First Time,International,2025SU,SCH11,PRG1102,1997
STU00033,Transfer,International,2025SU,SCH11,PRG1103,2006
STU00034,Transfer,Out of State,2025SU,SCH12,PRG1201,2008
STU00035,Continuing,International,2025SU,SCH12,PRG1202,2000
STU00036,Continuing,International,2025SU,SCH12,PRG1203,1978
STU00037,Graduate,Out of State,2025WI,SCH01,PRG0101,1988
STU00038,Graduate,Out of State,2024FA,SCH01,PRG0102,1978
STU00039,Graduate,Out of State,2024FA,SCH01,PRG0103,1999
STU00040,First Time,In State,2025FA,SCH02,PRG0201,2004
STU00041,Graduate,International,2025WI,SCH02,PRG0202,1982
STU00042,Graduate,Out of State,2024FA,SCH02,PRG0203,2000
STU00043,Continuing,In State,2024FA,SCH03,PRG0301,2001
STU00044,Transfer,In State,2025SU,SCH03,PRG0302,2000
STU00045,First Time,Out of State,2025FA,SCH03,PRG0303,1991
STU00046,First Time,Out of State,2024FA,SCH04,PRG0401,2003
STU00047,Graduate,Out of State,2025WI,SCH04,PRG0402,1996
STU00048,Transfer,International,2025FA,SCH04,PRG0403,1979
STU00049,Transfer,In State,2025FA,SCH05,PRG0501,1992
STU00050,Graduate,Out of State,2025FA,SCH05,PRG0502,1989
STU00051,Continuing,Out of State,2025SU,SCH05,PRG0503,1990
STU00052,Continuing,Out of State,2025FA,SCH06,PRG0601,1989
STU00053,Transfer,International,2025FA,SCH06,PRG0602,1997
STU00054,Graduate,International,2025WI,SCH06,PRG0603,2004
STU00055,First Time,In State,2025WI,SCH07,PRG0701,1996
STU00056,First Time,Out of State,2025SU,SCH07,PRG0702,1988
STU00057,Graduate,In State,2025FA,SCH07,PRG0703,1986
STU00058,Graduate,International,2025SU,SCH08,PRG0801,1996
STU00059,First Time,In State,2025WI,SCH08,PRG0802,1998
STU00060,First Time,In State,2025FA,SCH08,PRG0803,1984
STU00061,Continuing,International,2024FA,SCH09,PRG0901,1985
STU00062,Transfer,In State,2025SU,SCH09,PRG0902,1985
STU00063,Continuing,In State,2025FA,SCH09,PRG0903,1980
STU00064,Continuing,In State,2025FA,SCH10,PRG1001,2003
STU00065,Graduate,International,2025FA,SCH10,PRG1002,1982
STU00066,Transfer,Out of State,2024FA,SCH10,PRG1003,2008
STU00067,Transfer,Out of State,2025FA,SCH11,PRG1101,1985
STU00068,Graduate,In State,2025WI,SCH11,PRG1102,1982
STU00069,Graduate,Out of State,2025FA,SCH11,PRG1103,1996
STU00070,First Time,In State,2024FA,SCH12,PRG1201,2007
STU00071,First Time,In State,2025FA,SCH12,PRG1202,1992
STU00072,First Time,Out of State,2025SU,SCH12,PRG1203,1990
STU00073,Transfer,In State,2025SU,SCH01,PRG0101,1985
STU00074,Graduate,International,2025WI,SCH01,PRG0102,2000
STU00075,Continuing,In State,2025SU,SCH01,PRG0103,1988
STU00076,Graduate,In State,2025WI,SCH02,PRG0201,1984
STU00077,Graduate,International,2024FA,SCH02,PRG0202,2006
STU00078,Continuing,Out of State,2024FA,SCH02,PRG0203,1991
STU00079,Graduate,Out of State,2025FA,SCH03,PRG0301,1986
STU00080,Graduate,Out of State,2025SU,SCH03,PRG0302,1994
STU00081,Continuing,In State,2025WI,SCH03,PRG0303,1997
STU00082,Transfer,Out of State,2025WI,SCH04,PRG0401,2005
